Optical Power Monitor
1.0.2149.55
Delimiter Used: Tab

Start of Measurement 	 8/23/2018 13:41:46
Sample Interval 	 1 s
	 PM100D 15111301
Type	 PM100D
Serialnumber	 PM001960
Sensor	 S120VC
SensorSerialnumber	 15111301
Wavelength / Responsivity	 470 nm

			PM100D 15111301	 
Samples 	Date (MM/dd/yyyy) 	Time of day (hh:mm:ss) 	Power (W)	
0	 8/23/2018	 13:41:46	5.411E-08
1	 8/23/2018	 13:41:47	2.668E-08
2	 8/23/2018	 13:41:48	3.056E-08
3	 8/23/2018	 13:41:49	2.494E-08
4	 8/23/2018	 13:41:50	2.986E-08
5	 8/23/2018	 13:41:51	2.675E-08
6	 8/23/2018	 13:41:52	3.067E-08
7	 8/23/2018	 13:41:53	9.726E-06
8	 8/23/2018	 13:41:54	2.768E-05
9	 8/23/2018	 13:41:55	2.825E-05
10	 8/23/2018	 13:41:56	2.834E-05
11	 8/23/2018	 13:41:57	2.828E-05
12	 8/23/2018	 13:41:58	2.83E-05
13	 8/23/2018	 13:41:59	1.129E-05
14	 8/23/2018	 13:42:00	7.622E-08
15	 8/23/2018	 13:42:02	6.361E-08
16	 8/23/2018	 13:42:03	4.975E-08
17	 8/23/2018	 13:42:04	4.17E-08
18	 8/23/2018	 13:42:05	3.754E-08
19	 8/23/2018	 13:42:06	1.218E-05
20	 8/23/2018	 13:42:07	2.69E-05
21	 8/23/2018	 13:42:08	2.824E-05
22	 8/23/2018	 13:42:09	2.826E-05
23	 8/23/2018	 13:42:10	2.824E-05
24	 8/23/2018	 13:42:11	2.823E-05
25	 8/23/2018	 13:42:12	2.193E-05
26	 8/23/2018	 13:42:13	1.545E-06
27	 8/23/2018	 13:42:14	7.157E-08
28	 8/23/2018	 13:42:15	5.176E-08
29	 8/23/2018	 13:42:16	3.903E-08
30	 8/23/2018	 13:42:17	1.283E-06
31	 8/23/2018	 13:42:18	2.12E-05
32	 8/23/2018	 13:42:19	2.8E-05
33	 8/23/2018	 13:42:20	2.815E-05
34	 8/23/2018	 13:42:21	2.809E-05
35	 8/23/2018	 13:42:22	2.814E-05
36	 8/23/2018	 13:42:23	2.816E-05
37	 8/23/2018	 13:42:24	1.74E-05
38	 8/23/2018	 13:42:25	3.745E-07
39	 8/23/2018	 13:42:26	6.077E-08
40	 8/23/2018	 13:42:27	5.259E-08
41	 8/23/2018	 13:42:28	3.529E-08
42	 8/23/2018	 13:42:29	1.297E-05
