Optical Power Monitor
1.0.2149.55
Delimiter Used: Tab

Start of Measurement 	 9/8/2018 10:56:20
Sample Interval 	 1 s
	 PM100D 15111301
Type	 PM100D
Serialnumber	 PM001960
Sensor	 S120VC
SensorSerialnumber	 15111301
Wavelength / Responsivity	 470 nm

			PM100D 15111301	 
Samples 	Date (MM/dd/yyyy) 	Time of day (hh:mm:ss) 	Irradiance (W/cm²)	
0	 9/8/2018	 10:56:20	-1.031E-08
1	 9/8/2018	 10:56:21	2.881E-08
2	 9/8/2018	 10:56:22	3.168E-08
3	 9/8/2018	 10:56:23	3.949E-08
4	 9/8/2018	 10:56:24	3.173E-08
5	 9/8/2018	 10:56:25	9.079E-08
6	 9/8/2018	 10:56:26	7.925E-09
7	 9/8/2018	 10:56:27	3.367E-08
8	 9/8/2018	 10:56:28	1.619E-08
9	 9/8/2018	 10:56:29	1.67E-05
10	 9/8/2018	 10:56:30	9.613E-05
11	 9/8/2018	 10:56:31	9.696E-05
12	 9/8/2018	 10:56:32	9.682E-05
13	 9/8/2018	 10:56:33	9.656E-05
14	 9/8/2018	 10:56:34	9.679E-05
15	 9/8/2018	 10:56:35	9.682E-05
16	 9/8/2018	 10:56:36	6.736E-05
17	 9/8/2018	 10:56:37	3.751E-07
18	 9/8/2018	 10:56:38	1.787E-07
19	 9/8/2018	 10:56:39	1.415E-07
20	 9/8/2018	 10:56:40	9.774E-07
21	 9/8/2018	 10:56:41	9.12E-05
22	 9/8/2018	 10:56:42	0.0001093
23	 9/8/2018	 10:56:43	0.0001091
24	 9/8/2018	 10:56:44	0.0001089
25	 9/8/2018	 10:56:45	0.0001089
26	 9/8/2018	 10:56:46	0.0001089
27	 9/8/2018	 10:56:47	6.482E-05
28	 9/8/2018	 10:56:48	2.787E-07
29	 9/8/2018	 10:56:49	1.53E-07
30	 9/8/2018	 10:56:50	7.815E-08
31	 9/8/2018	 10:56:51	7.468E-07
32	 9/8/2018	 10:56:52	7.775E-05
33	 9/8/2018	 10:56:53	9.573E-05
34	 9/8/2018	 10:56:54	9.58E-05
35	 9/8/2018	 10:56:55	9.555E-05
36	 9/8/2018	 10:56:56	9.563E-05
37	 9/8/2018	 10:56:57	9.55E-05
38	 9/8/2018	 10:56:58	7.739E-05
39	 9/8/2018	 10:56:59	5.767E-07
40	 9/8/2018	 10:57:00	1.491E-07
41	 9/8/2018	 10:57:01	8.869E-08
